name,val_loss,val_accuracy,loss,accuracy,runtime,build_fn_params.hidden_activation,build_fn_params.loss,build_fn_params.optimizer,build_fn_params.output_activation,dataset_params.batch_size,dataset_params.color_mode,dataset_params.crop_to_aspect_ratio,dataset_params.image_size.0,dataset_params.image_size.1,dataset_params.interpolation,dataset_params.label_mode,early_stopping_params.patience,fit_params.epochs,lr
coral_scone,0.5085222125053406,0.7767857313156128,0.2841556966304779,0.9093959927558899,2023-10-30 01:35:43,selu,binary_crossentropy,adam,sigmoid,32,rgb,False,256,256,bilinear,binary,50,10000000000,
irate_promotion,0.5085297226905823,0.7254464030265808,0.4715418815612793,0.7734899520874023,2023-10-29 02:35:15,relu,binary_crossentropy,adam,sigmoid,32,rgb,False,256,256,bilinear,binary,50,10000000000,0.001
giggle_jalapeno,0.5093056559562683,0.7455357313156128,0.44119715690612793,0.8081655502319336,2023-10-27 21:58:55,selu,binary_crossentropy,adam,sigmoid,64,grayscale,False,128,128,bilinear,binary,50,10000000000,0.001
growl_unmarked,0.5093352198600769,0.7455357313156128,0.3608928322792053,0.8489933013916016,2023-10-27 16:28:52,relu,binary_crossentropy,adam,sigmoid,32,grayscale,False,256,256,bilinear,binary,50,10000000000,0.001
disarm_acuteness,0.5094977617263794,0.7455357313156128,0.4088779389858246,0.818791925907135,2023-10-29 20:05:21,selu,binary_crossentropy,adam,sigmoid,32,grayscale,False,128,128,bilinear,binary,50,10000000000,
contest_habitual,0.5115745663642883,0.7276785969734192,0.4835638999938965,0.7953020334243774,2023-10-29 19:55:51,relu,binary_crossentropy,adam,sigmoid,32,grayscale,False,128,128,bilinear,binary,50,10000000000,
shirt_scouring,0.5156905055046082,0.7410714030265808,0.3803418278694153,0.8450782895088196,2023-10-30 04:22:58,relu,binary_crossentropy,adam,sigmoid,64,grayscale,False,256,256,bilinear,binary,50,10000000000,
esteemed_shrug,0.5235392451286316,0.7455357313156128,0.38377729058265686,0.8406040072441101,2023-10-29 11:31:55,selu,binary_crossentropy,adam,sigmoid,128,grayscale,False,128,128,bilinear,binary,50,10000000000,0.001
licking_mammary,0.5250325798988342,0.7611607313156128,0.27729204297065735,0.9172259569168091,2023-10-30 11:39:01,selu,binary_crossentropy,adam,sigmoid,128,grayscale,False,256,256,bilinear,binary,50,10000000000,
limes_crate,0.525532066822052,0.7321428656578064,0.3201945722103119,0.8982102870941162,2023-10-28 03:33:30,selu,binary_crossentropy,adam,sigmoid,64,rgb,False,256,256,bilinear,binary,50,10000000000,0.001
outflank_predefine,0.5255740284919739,0.703125,0.42839959263801575,0.8064876794815063,2023-10-29 23:29:08,relu,binary_crossentropy,adam,sigmoid,32,rgb,False,128,128,bilinear,binary,50,10000000000,
washout_smith,0.5263659954071045,0.7477678656578064,0.3579463064670563,0.8758389353752136,2023-10-29 21:42:17,selu,binary_crossentropy,adam,sigmoid,32,grayscale,False,256,256,bilinear,binary,50,10000000000,
slit_itinerary,0.5285000205039978,0.7388392686843872,0.375739187002182,0.8517897129058838,2023-10-29 06:30:37,selu,binary_crossentropy,adam,sigmoid,64,grayscale,False,256,256,bilinear,binary,50,10000000000,0.001
